field_id,phh2o,soc,clay,sand,nitrogen,buffer_m
F001,71.02,259.61,292.74,468.01,187.54,0
F002,70.4,262.06,252.92,507.89,220.11,0
F003,71.31,197.15,305.71,463.66,185.81,0
F004,77.63,131.7,282.89,287.14,147.91,0
F005,62.5,263.39,357.4,215.4,157.62,2000
F006,66.0,258.01,285.01,368.15,211.96,0
F007,77.63,131.7,282.89,287.14,147.91,0
