field_id,phh2o,soc,clay,sand,nitrogen,buffer_m
Kalman,77.84,120.67,458.83,207.28,141.2,0
Kanzara,73.95,91.96,445.7,257.69,101.23,0
Shirapur,74.41,132.62,424.88,302.54,138.36,0
