date,mean_ndvi,mean_evi,mean_ndwi,cloud_cover_pct
2010-01-14,0.31884316778180744,0.16747282281543988,-0.009532933604893679,38
2010-01-22,0.2911880010678804,0.1493146313597381,-0.05558273759364595,0
2010-01-30,0.2765365891683222,0.14908207546911784,-0.05479356708726134,0
2010-02-07,0.23585263536112083,0.1276142865776991,-0.06371780052021965,0
2010-02-23,0.21505079804576246,0.1083492337421346,-0.07375491820997421,3
2010-03-03,0.19630293598679086,0.10559081454021942,-0.08568586991624172,0
2010-03-19,0.15819954512177015,0.08382652322028238,-0.0849704478427976,0
2010-03-27,0.13154994372445344,0.07473333707827153,-0.0642227471717111,0
2010-04-12,0.13328491509961538,0.07189726212567833,-0.06726742202841068,4
2010-04-28,0.1145773323126414,0.06130699504119484,-0.05409260699643494,1
2010-05-06,0.11510809186250823,0.0642707619490563,-0.048372235881522195,10
2010-05-14,0.1097376551539472,0.057253223669412025,-0.0514973477656679,0
2010-05-30,0.11623252323239033,0.05753234054088659,-0.04540601707087328,0
2010-06-07,0.12665373982705067,0.06210143957971348,-0.060727175597745216,1
2010-10-29,0.6290037063208859,0.4547305784217383,0.1835115986111387,13
2011-01-25,0.42126597517387765,0.26739943679453554,0.06292923331689819,0
2011-02-10,0.3555240879441472,0.2381170973862487,0.036771021189403084,0
2011-02-26,0.33788018395371994,0.20802550174994966,0.03175562097533293,0
2011-03-22,0.2516261067259108,0.1528824273509418,-0.04170742901958993,0
2011-03-30,0.2087150847351064,0.12943836257027663,-0.05271020360079206,0
2011-04-07,0.20204073321439908,0.14108743404389146,-0.04059200633246403,27
2011-04-23,0.19599733250341936,0.11957965382456465,-0.0643379880993921,3
2011-05-01,0.17293452452880884,0.09835552224446475,-0.01776614057225487,9
2011-05-09,0.17486134075112808,0.10633558451713097,-0.040851323708684655,1
2011-05-17,0.1491288370608028,0.08697638924331834,-0.04532145413532128,0
2011-05-25,0.15903138919924928,0.08915186499923577,-0.044364561978266825,7
2011-06-02,0.12140368392376744,0.07714599833541906,-0.02308812936915288,66
2011-09-30,0.6605308146052702,0.45049148153642676,0.22770770334363663,1
2011-10-08,0.48113200575346576,0.3306129566992185,0.13155201870835354,0
2011-10-16,0.4479574455505782,0.26600427487188216,0.08075571939997134,11
2011-10-24,0.42093046225095737,0.25608306322184304,0.04939799365555665,0
2011-11-01,0.39829935471163197,0.24843045403166314,0.04475742642764022,2
2011-11-09,0.3649135692846426,0.22844575752757296,0.05980771613670664,0
2011-11-17,0.36798051339448057,0.21721976234750634,0.045795542687084176,0
2012-01-20,0.3547086823629944,0.2270678426435991,0.07526059334159317,0
2012-02-05,0.3159225797734372,0.21179630188317777,0.06691382526954279,0
2012-02-21,0.28229533882207397,0.1725625904854112,0.035836724771389376,0
2012-03-08,0.22032705542651485,0.1356042753640064,0.001505259753498245,0
2012-03-24,0.18655535558535177,0.11476482049257145,-0.028015265070758185,0
2012-04-09,0.15904481526925673,0.10287009292617662,-0.022738948380933773,0
2012-04-25,0.15713986679573042,0.09147262784444789,-0.033944666197892055,1
2012-05-11,0.1376427764864383,0.07592719557592033,-0.0338865917850076,18
2012-06-12,0.1107992122272611,0.06304853343723332,-0.02382344474536417,31
2012-10-18,0.46865395469392085,0.3050947434554066,0.08553560088334686,0
2012-12-21,0.40302470312167166,0.23752572863848087,0.09338322023393614,0
2013-01-06,0.48136725041970313,0.30880996872434563,0.15619011366508617,2
2013-01-22,0.4766778804922879,0.3317524786356999,0.19406469690933068,0
2013-02-07,0.30227688542838194,0.25911748811086166,0.13863357482150354,17
2013-02-23,0.26241411471401416,0.1728576062387151,0.027550858709658378,4
2013-03-11,0.26846630085844725,0.15620878231414134,0.013786514307182845,1
2013-04-12,0.16684407654132696,0.1072755224537535,-0.024404656677323288,0
2013-04-20,0.23990687934806978,0.14447475810470017,0.0019365762221158847,10.67
2013-04-28,0.19894556915999267,0.10913139786653181,-0.023216742064654954,0
2013-05-06,0.22648215218417864,0.11962036554230827,-0.012003627481229193,0
2013-05-22,0.19998270661449266,0.10003589770276106,-0.014944500887791907,2.65
2013-09-03,0.720563606721682,0.6476675208698419,0.2973311588455694,62
2013-09-11,0.7436755366045623,0.5303191710491555,0.29932232538796777,37.03
2013-09-27,0.6643370322322322,0.4425806809494947,0.20881656857771325,10.4
2013-10-21,0.542737211637993,0.3551691381322509,0.13836623663858402,0
2013-10-29,0.5888605259188562,0.3551666416215433,0.14786804282098825,0.01
2013-11-06,0.49799960389436954,0.32433151702293056,0.11977134232447048,5
2013-11-14,0.4790003800983166,0.26938905588392675,0.1130859707434213,0.05
