state,district,crop,season,year,area_ha,production_tonnes,final_yield_t_ha,yield_unit,geographic_level,source_name,source_url,retrieved_date
Tamil Nadu,MADURAI,Rice,Whole Year,2019,40468,165916,4.1,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,THENI,Rice,Whole Year,2019,8930,36668,4.106,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,DINDIGUL,Rice,Whole Year,2019,8140,36936,4.537,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,RAMANATHAPURAM,Rice,Whole Year,2019,127288,321481,2.526,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,VIRUDHUNAGAR,Rice,Whole Year,2019,24492,82781,3.38,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,SIVAGANGAI,Rice,Whole Year,2019,70371,188316,2.676,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,TIRUNELVELI,Rice,Whole Year,2019,39805,168063,4.222,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,TENKASI,Rice,Whole Year,2019,39404,147305,3.738,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,THOOTHUKUDI,Rice,Whole Year,2019,15519,57507,3.705,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,THE NILGIRIS,Rice,Whole Year,2019,170,698,4.104,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,KANNIYAKUMARI,Rice,Whole Year,2019,10970,43804,3.993,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,ARIYALUR,Rice,Whole Year,2024,26540,93905,3.538,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,CHENGALPATTU,Rice,Whole Year,2024,59151,228635,3.865,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,CHENNAI,Rice,Whole Year,2024,98,320,3.267,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,COIMBATORE,Rice,Whole Year,2024,1042,3615,3.469,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,CUDDALORE,Rice,Whole Year,2024,146517,404324,2.76,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,DHARMAPURI,Rice,Whole Year,2024,27636,112042,4.054,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,DINDIGUL,Rice,Whole Year,2024,14234,48504,3.408,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,ERODE,Rice,Whole Year,2024,29736,119485,4.018,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,KALLAKURICHI,Rice,Whole Year,2024,55972,214635,3.835,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,KANCHEEPURAM,Rice,Whole Year,2024,55117,206906,3.754,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,KANNIYAKUMARI,Rice,Whole Year,2024,11277,43246,3.835,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,KARUR,Rice,Whole Year,2024,14722,54501,3.702,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,KRISHNAGIRI,Rice,Whole Year,2024,30808,112143,3.64,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,MADURAI,Rice,Whole Year,2024,58619,192634,3.286,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,MAYILADUTHURAI,Rice,Whole Year,2024,108130,332769,3.077,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,NAGAPATTINAM,Rice,Whole Year,2024,67999,177549,2.611,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,NAMAKKAL,Rice,Whole Year,2024,10392,40528,3.9,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,PERAMBALUR,Rice,Whole Year,2024,8241,32553,3.95,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,PUDUKKOTTAI,Rice,Whole Year,2024,94173,310179,3.294,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,RAMANATHAPURAM,Rice,Whole Year,2024,142849,280846,1.966,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,RANIPET,Rice,Whole Year,2024,52464,191485,3.65,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,SALEM,Rice,Whole Year,2024,23889,99171,4.151,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,SIVAGANGAI,Rice,Whole Year,2024,82173,237686,2.892,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
