season_start_date,final_yield_t_ha
2015-08-01,2.305
2016-08-01,2.417
2017-08-01,2.469
2018-08-01,2.553
2019-08-01,2.622
2020-08-01,2.607
2021-08-01,2.705
2022-08-01,2.735
2023-08-01,2.780
2024-08-01,2.825
