season_start_date,final_yield_t_ha
2015-06-15,2.305
2016-06-15,2.417
2017-06-15,2.469
2018-06-15,2.553
2019-06-15,2.622
2020-06-15,2.607
2021-06-15,2.705
2022-06-15,2.735
2023-06-15,2.780
2024-06-15,2.825
