date,mean_ndvi,mean_evi,mean_ndwi,cloud_cover_pct
2019-01-04,0.41115159863518225,0.2726224833612591,-0.0020509725250442475,0.052681
2019-01-09,0.373985428996654,0.26193594243333973,-0.020641950925187235,0.149714
2019-01-14,0.29778811993393517,0.22795171270452436,-0.03665850725853959,17.945301
2019-01-19,0.3367324182831494,0.24122058357876303,-0.038927197905909004,0.976467
2019-01-24,0.30589317210761446,0.20594983763296476,-0.06958916627421134,1.858206
2019-01-29,0.29214194787915226,0.22602333356844784,-0.05857444128947816,35.972101
2019-02-03,0.2971851493415523,0.20711283094901015,-0.07204115609610813,3.858484
2019-02-08,0.2867302283332056,0.19831357642598202,-0.09913395502868251,2.799321
2019-02-13,0.28892020956573145,0.19862667098163553,-0.084043459198014,0.104041
2019-02-18,0.27533205056329924,0.18711992815112724,-0.10252700476557886,1.240504
2019-02-23,0.2809451707431863,0.19295982241474746,-0.07440961072367189,0.087744
2019-02-28,0.20569167005535852,0.16457938036315015,-0.08247181903339304,31.737997
2019-03-05,0.2448098926502507,0.17894151020662238,-0.09890126715518288,43.180578
2019-03-10,0.22147071954046016,0.1794374864873124,-0.09997970427366752,14.457486
2019-03-15,0.2557836729939359,0.18264813217626638,-0.08654844529454656,0.831202
2019-03-20,0.23249389936275566,0.18194477946703438,-0.1054413243124667,26.247892
2019-03-25,0.2534195957070547,0.1833218968238828,-0.09104416389320982,0.016579
2019-03-30,0.2452665376573899,0.18302142620217438,-0.1041868250066573,0.798053
2019-04-04,0.24308210381560397,0.17624769543232932,-0.09241258647688755,3.794732
2019-04-09,0.2305519848645313,0.17132006534462538,-0.11892370373684122,6.258108
2019-04-14,0.24261863264272895,0.1754977903955776,-0.09097853383825669,3.677257
2019-04-19,0.23394732948898106,0.1765582452985862,-0.11067269266925296,18.466395
2019-04-24,0.2425855668272696,0.18971787523933212,-0.10479347545986395,9.192859
2019-05-04,0.2508507832655777,0.1848182552544548,-0.07531756494489925,16.168902
2019-05-09,0.270143948710872,0.19901209196764466,-0.09878826208623141,2.814088
2019-05-14,0.28322414248696626,0.20793282406897207,-0.08985687740617099,10.543399
2019-05-19,0.3162768564045999,0.24047782601746145,-0.07336276162488808,5.351565
2019-05-29,0.3368048782904978,0.2745566613846628,0.013313335951921298,15.68234
2019-06-08,0.3640653115637018,0.27718217291774977,-0.021183022900709555,11.114021
2019-06-13,0.25670607379096677,0.23700582602909365,0.02806335017296883,51.361773
2019-06-18,0.27392649963245774,0.25215593814972387,0.004868628594477098,64.114535
2019-07-03,0.2672240161278404,0.18971335945059836,-0.05464586085573125,28.896809
2019-07-08,0.24667442781805354,0.1844993278131355,-0.09347034243704265,13.197445
2019-07-28,0.26561882441320944,0.18737479536606014,-0.07348930687627384,53.897899
2019-09-06,0.44667776973735585,0.3618671368785559,0.018504374488111895,31.599836
2019-09-16,0.3012880266205724,0.46760093307759226,0.03466802104285111,62.157334
2019-10-01,0.4412511047938908,0.35504068859495286,0.027599174580421323,24.308502
2019-10-06,0.4555503016516881,0.41275653532635603,0.07891884569967489,66.73162
2019-10-11,0.3766116235277873,0.3506936908934861,0.026653538039844688,29.238154
2019-11-05,0.5457882259537253,0.45442234194609604,0.11527113437813742,8.801389
2019-11-10,0.4910929239310147,0.4534125062399142,0.1283152325250239,17.563482
2019-11-15,0.37553322444152837,0.37961813963011726,0.21223246269262494,53.107411
