date,mean_ndvi,mean_evi,mean_ndwi,cloud_cover_pct,collection_id,sensor_name,satellite_platform,observation_year,composite_start_date,composite_end_date,image_count,valid_pixel_count,district_cropland_pixels,coverage_fraction
2000-01-28,0.3995759196305779,0.23311832847787747,0.05720122608784589,10,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,5963,284589.0,0.02095
2000-04-10,0.29617933758584486,0.18661398589579647,-0.0704492420770043,0,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,285601,284589.0,1.00356
2000-04-17,0.35951259105258726,0.2518527460264972,-0.001055498231810498,35,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,7986,284589.0,0.02806
2000-05-03,0.4381684056276319,0.2889972405207522,0.05261666033881557,13,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,4400,284589.0,0.01546
2000-07-15,0.32767444752648817,0.21273912200714715,-0.008830213494976348,3,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,273553,284589.0,0.96122
2000-08-07,0.26057615336633067,0.2500689265507246,-0.00786054293759444,54,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,7489,284589.0,0.02632
2000-09-08,0.48939722582350587,0.3260908364132129,0.11629031543873171,14,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,3069,284589.0,0.01078
2000-10-10,0.48057775480097525,0.3540809801270122,0.2518958653883276,24,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,1441,284589.0,0.00506
2000-10-19,0.5944943332365534,0.40158143260410517,0.18521710739791314,31,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,285415,284589.0,1.0029
2000-10-26,0.6488452594639312,0.4257325790289895,0.2711772098457404,0,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,6127,284589.0,0.02153
2000-11-04,0.5708525887548365,0.393799754766851,0.18941888229615014,43,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,132860,284589.0,0.46685
2000-11-27,0.605755846192168,0.38382923837379596,0.19346719670085955,8,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,7016,284589.0,0.02465
2000-12-06,0.5298016917285141,0.359484499641446,0.14934528452737975,28,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,122096,284589.0,0.42903
2000-12-21,0.498413470939505,0.31429208914205997,0.22481914817748816,9,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2000,2000-01-01,2012-12-31,1,1513,284589.0,0.00532
2001-01-06,0.4326263237893651,0.2877878715631257,0.1859387230848682,15,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,2548,284589.0,0.00895
2001-01-07,0.4930233540188236,0.304810845941551,0.07298502014677087,27,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,281447,284589.0,0.98896
2001-01-14,0.40359750662267174,0.25143425503387146,0.0959529176216618,0,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,4525,284589.0,0.0159
2001-02-23,0.3433458695993377,0.2133821645134237,0.014834859942206801,1,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,2906,284589.0,0.01021
2001-02-24,0.3345901260036011,0.20578772437516418,-0.038650223514779196,1,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,285490,284589.0,1.00317
2001-03-03,0.32902965761559405,0.20178903311845142,-0.03257767603985699,0,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,5452,284589.0,0.01916
2001-03-04,0.31772319990886283,0.20589811012015125,-0.03871240096775742,2,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,285548,284589.0,1.00337
2001-03-11,0.29657470068777997,0.20617047464082586,0.009239733618795952,7,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,3202,284589.0,0.01125
2001-04-29,0.35463836844114116,0.2548460570112945,0.0413006615425458,53,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,89995,284589.0,0.31623
2001-05-06,0.3248049218702802,0.29378136788644066,0.13880623000714945,57,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,29,284589.0,0.0001
2001-05-15,0.40553877541595845,0.2726492104063662,0.045379416153273615,0,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,285686,284589.0,1.00385
2001-07-25,0.3340844247067389,0.2241367916212396,0.06316266123073926,48,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,2543,284589.0,0.00894
2001-08-10,0.29574169910228565,0.2518116258097165,0.07400695757092829,61,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,2056,284589.0,0.00722
2001-09-04,0.40793442887868625,0.27779767229302305,0.05542461172082428,1,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,283626,284589.0,0.99662
2001-09-11,0.4687386882503673,0.3232838427925656,0.17312752004469012,51,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,3839,284589.0,0.01349
2001-10-13,0.5347234724899727,0.39678695339594267,0.23710052108365912,64,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,2345,284589.0,0.00824
2001-11-30,0.6167571193299307,0.4022722189904438,0.2225113385188345,1,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,5873,284589.0,0.02064
2001-12-09,0.537292804108943,0.3337144084684033,0.11060768801900729,0,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,285668,284589.0,1.00379
2002-01-10,0.4706340259604673,0.3058857315392712,0.08102406512212366,57,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,104791,284589.0,0.36822
2002-01-26,0.3661117941557875,0.2427406719379869,0.024097608109181757,40,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,112104,284589.0,0.39392
2002-02-18,0.3778483288692624,0.22657041261927963,-0.018381498642065452,1,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,5874,284589.0,0.02064
2002-02-27,0.3058467962896093,0.1834319882972664,-0.06409179344448347,1,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,285687,284589.0,1.00386
2002-03-15,0.3010887821528916,0.20080442877962398,-0.048266349527669686,39,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,158135,284589.0,0.55566
2002-03-31,0.2700178090686125,0.18720685823114125,-0.0570268915895728,23,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,156262,284589.0,0.54908
2002-04-16,0.2791227450940746,0.1880199219698366,-0.056931955356446136,13,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,181149,284589.0,0.63653
2002-05-02,0.25894637930747505,0.18150975342168488,-0.04862049058830903,27,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,256798,284589.0,0.90235
2002-07-21,0.31222668084501204,0.2178745786886107,-0.00023477256238400428,59,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,115529,284589.0,0.40595
2002-09-07,0.33606562323195316,0.21677910775474168,-0.01498614766826092,18,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,259080,284589.0,0.91037
2002-09-14,0.28180361057006903,0.19661045112499215,-0.0618550225720779,32,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,3294,284589.0,0.01157
2002-09-23,0.401373074458301,0.26207769836687606,0.032216991608463794,1,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,285654,284589.0,1.00374
2002-09-30,0.37941325493906874,0.24112166175674138,0.036883151860940475,13,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,3295,284589.0,0.01158
2002-10-25,0.5335055300948147,0.403325601216649,0.15555242783622455,66,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,214509,284589.0,0.75375
2002-11-17,0.4007705855650651,0.47710722588677557,0.15937907980001298,61,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,4425,284589.0,0.01555
2002-11-26,0.5286056471873702,0.3695507348044372,0.13573283272264722,4,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2002,2000-01-01,2012-12-31,1,221043,284589.0,0.77671
