date,mean_ndvi,mean_evi,mean_ndwi,cloud_cover_pct,collection_id,sensor_name,satellite_platform,observation_year,composite_start_date,composite_end_date,image_count,valid_pixel_count,district_cropland_pixels,coverage_fraction
2000-01-28,0.4766344681889828,0.25164244952385756,0.10068091921198122,1,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,2085,493165.0,0.00423
2000-04-10,0.34059570900589864,0.2206691182090115,-0.021780355029118473,19,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,478467,493165.0,0.9702
2000-04-17,0.46438576447176727,0.2734425970376191,0.08562577331721415,17,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,6914,493165.0,0.01402
2000-07-15,0.24262281516848422,0.16562963606170036,-0.0357456169239036,23,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,350184,493165.0,0.71007
2000-09-08,0.6692961045933329,0.4043079629743258,0.2605236027187292,22,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,3917,493165.0,0.00794
2000-09-16,0.5633824303656104,0.40539774147747626,0.2860856235160906,41,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2000,2000-01-01,2012-12-31,1,243,493165.0,0.00049
2000-10-10,0.5131922922345034,0.32736452240425995,0.3249534772462046,26,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,413,493165.0,0.00084
2000-10-19,0.36910417257890366,0.24654966589271374,0.03370027646104573,6,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,490345,493165.0,0.99428
2000-10-26,0.5661938460404007,0.33668420710109515,0.25283533156409727,7,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,4679,493165.0,0.00949
2000-11-27,0.698767720192142,0.3907593349741376,0.2767420007839736,2,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,5688,493165.0,0.01153
2000-12-06,0.4155455350813199,0.30805814021155464,0.0934815818008023,48,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,50218,493165.0,0.10183
2000-12-14,0.6102415265462595,0.4131183038714235,0.1892514370433147,4,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2000,2000-01-01,2012-12-31,1,753,493165.0,0.00153
2000-12-14,0.47732492901687423,0.3185837913361435,0.1064352225074284,4,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2000,2000-01-01,2012-12-31,1,473932,493165.0,0.961
2000-12-21,0.690606459690773,0.43631439878514966,0.27512440504019275,6,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2000,2000-01-01,2012-12-31,1,464,493165.0,0.00094
2001-01-07,0.4846796738957148,0.3225575461934236,0.13752559605193634,8,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,284507,493165.0,0.5769
2001-03-03,0.4900376594983827,0.2694808701230248,0.09201906891578891,1,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,543,493165.0,0.0011
2001-03-11,0.4734309405940501,0.26097169195582043,0.0586255463431942,47,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,2440,493165.0,0.00495
2001-05-14,0.5513675522184083,0.3405739018802204,0.1734425927055271,14,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,6522,493165.0,0.01322
2001-05-15,0.3789561002665981,0.26342308687237576,0.036718405763830154,39,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,402090,493165.0,0.81533
2001-05-23,0.4243303585478399,0.3063960358518878,0.1213658407896828,6,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,262,493165.0,0.00053
2001-06-08,0.26784030647416096,0.20492366035299459,-0.01051577426726456,61,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,24537,493165.0,0.04975
2001-07-18,0.2563169577571682,0.17057400843617976,-0.05555942289685479,50,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,133819,493165.0,0.27135
2001-08-10,0.6660249322000248,0.3689123666862707,0.29298005736573235,11,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,815,493165.0,0.00165
2001-08-19,0.18466412965310233,0.15815914951842622,0.009754734737193843,52,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,204587,493165.0,0.41484
2001-09-04,0.22066548100717134,0.14531180556043868,-0.10432462655160754,10,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,11,493165.0,2e-05
2001-09-04,0.2384472976729323,0.1618706468949903,-0.021853024117481717,21,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,478168,493165.0,0.96959
2001-09-20,0.228832530453713,0.15417861463908344,-0.044963488486658265,53,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,297839,493165.0,0.60393
2001-10-29,0.6722102260055083,0.40248992396912203,0.36997417590427684,42,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,117,493165.0,0.00024
2001-11-07,0.3801248153925659,0.27556953398656414,0.10706044936830153,35,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,270767,493165.0,0.54904
2001-11-30,0.6579794626552776,0.43992361523088125,0.29665680340170775,2,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,3667,493165.0,0.00744
