week,temp_c,precip_mm,humidity_pct,wind_speed_ms,ndvi,evi,ndwi,ndvi_observed,field_id,crop,growth_stage,phh2o,soc,clay,sand,nitrogen
2022-01-02,11.8745115,0.0,73.19099,1.71785815,0.4195565362545457,0.25915649302620003,0.12659064019550625,1,F007,wheat_punjab,0.4428571428571429,77.63,131.7,282.89,287.14,147.91
2022-01-09,13.349483142857142,72.04914086,90.12878742857143,1.6598618314285714,0.33428557675380216,0.24578751699196838,0.11522821929180106,0,F007,wheat_punjab,0.4928571428571429,77.63,131.7,282.89,287.14,147.91
2022-01-16,11.458413285714286,0.320434573,90.84949571428571,0.8822126057142857,0.2490146172530586,0.23241854095773673,0.10386579838809587,0,F007,wheat_punjab,0.5428571428571429,77.63,131.7,282.89,287.14,147.91
2022-01-23,11.826738714285714,46.568870318,93.472761,1.593694255714286,0.16374365775231503,0.21904956492350505,0.09250337748439069,0,F007,wheat_punjab,0.5928571428571429,77.63,131.7,282.89,287.14,147.91
2022-01-30,12.687800785714286,0.33473968200000004,80.61707428571428,1.6388138,0.0784726982515715,0.2056805888892734,0.0811409565806855,1,F007,wheat_punjab,0.6428571428571429,77.63,131.7,282.89,287.14,147.91
2022-02-06,12.261649142857141,3.58772272,84.96940014285714,1.0893069442857144,0.0849272424612621,0.2378124033554768,0.0784760834378517,1,F007,wheat_punjab,0.6928571428571428,77.63,131.7,282.89,287.14,147.91
2022-02-13,15.274653642857142,1.2617111,69.38086328571428,1.394841177142857,0.5690110861144617,0.4202077182691682,0.2457001958654418,1,F007,wheat_punjab,0.7428571428571429,77.63,131.7,282.89,287.14,147.91
2022-02-20,16.598968714285714,0.0,68.617949,1.2006210257142855,0.539872177849118,0.4016302884648164,0.2282013594920691,1,F007,wheat_punjab,0.7928571428571429,77.63,131.7,282.89,287.14,147.91
2022-02-27,16.289908142857144,77.570915895,76.77257999999999,2.09883502,0.568485104570577,0.44252952358265246,0.25381628704966885,1,F007,wheat_punjab,0.8428571428571429,77.63,131.7,282.89,287.14,147.91
2022-03-06,17.67245042857143,6.594658115,74.86899485714287,1.45873448,0.5769303776812666,0.4458286737817546,0.2634899048066591,0,F007,wheat_punjab,0.8928571428571429,77.63,131.7,282.89,287.14,147.91
2022-03-13,21.314165428571425,0.0,70.32588142857142,1.7195710571428573,0.5853756507919564,0.4491278239808567,0.2731635225636494,1,F007,wheat_punjab,0.9428571428571428,77.63,131.7,282.89,287.14,147.91
2022-03-20,26.666569285714285,0.0,69.31271742857142,1.3895769085714285,0.5618214236769379,0.3739711368318298,0.2103087922323399,1,F007,wheat_punjab,0.9928571428571429,77.63,131.7,282.89,287.14,147.91
2022-03-27,26.575064571428573,0.0,50.88842542857143,1.6846570585714284,0.5669047561275495,0.3806573929904571,0.2317226508138628,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-04-03,28.105098142857145,0.0,44.61860028571429,1.173987777142857,0.498972079931635,0.30486456331713285,0.16491175254803814,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-04-10,29.878156285714287,0.0,34.047130571428575,1.3730245357142858,0.3674003213328504,0.2245766940900591,0.0606288093631872,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-04-17,30.282361714285713,0.92697144,37.85661542857143,1.2121688414285714,0.2852055533018954,0.2315496373178469,0.0253008544943934,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-04-24,29.57112342857143,7.704734844000001,38.63047385714286,2.044289657142857,0.2642853288272825,0.1948073125062495,-0.0049132989673396,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-05-01,32.93388142857143,6.9465638,29.683013857142857,1.5806382014285714,0.2690076681177006,0.1801775788111508,-0.0348399568557139,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-05-08,31.294485857142856,6.5832138,41.899452571428576,1.7472111857142856,0.22824534808263713,0.1488050810130522,-0.07998574606400019,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-05-15,34.68212471428571,1.26457219,34.57985214285714,1.3762145928571428,0.1916328886255471,0.1298582976237856,-0.0873067372323478,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-05-22,34.05068085714286,5.0039291729999995,30.72578985714286,1.3674940071428572,0.19666703254100876,0.12600820095428666,-0.07667376565892965,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-05-29,30.194928714285712,44.966696999999996,50.818922,1.7772442857142856,0.2080509438016487,0.120000427343306,-0.0862636400185905,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-06-05,34.119825285714285,0.0743866,28.962646714285714,1.0324120085714286,0.2059887849872176,0.1409970040877723,-0.0400582441019935,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-06-12,36.996046,3.049850423,25.46776071428571,1.1413778757142856,0.1850152221588392,0.12944382188700024,-0.04930115546841895,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-06-19,32.24345614285714,23.697853446,52.72898385714286,2.0894006714285713,0.1817129140612439,0.1211443956266977,-0.0477367644990929,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-06-26,29.735626285714286,159.193041,60.36576842857143,1.3378488114285716,0.1839855641569432,0.1438027847702554,-0.0228511687714178,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-07-03,32.49135028571429,16.67118092,68.603425,2.17271463,0.19595858940100805,0.15384630108834466,0.04630723607606531,0,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-07-10,31.518262571428572,120.77236006000001,74.99417371428571,1.2769156771428574,0.20793161464507287,0.16388981740643394,0.11546564092354841,0,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-07-17,29.605211714285712,28.36132006,78.459012,1.6645463628571429,0.21990463988913772,0.1739333337245232,0.18462404577103153,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-07-24,30.20137642857143,66.91646534,79.58335014285714,1.8300271842857145,0.292812526735795,0.22420224481519152,0.17392517700026003,0,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-07-31,29.207545714285715,109.3225485,84.03499985714286,1.7262449285714285,0.3657204135824522,0.2744711559058599,0.16322630822948853,0,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-08-07,30.110966,23.19431353,81.22171228571428,1.2226140057142858,0.4386283004291095,0.32474006699652824,0.152527439458717,0,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-08-14,31.099317285714285,9.687423730999999,74.80901085714287,1.7061261285714284,0.5115361872757668,0.3750089780871966,0.1418285706879455,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-08-21,30.060725571428573,19.323349234,76.79370800000001,1.5438079185714286,0.515033025657043,0.4320673135110657,0.1854676098125515,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-08-28,30.336674428571428,87.86201531,78.31687285714285,1.27030244,0.5000749592585098,0.41946165405221136,0.17341286734689676,0,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-09-04,30.916556285714286,12.348174666,72.82994699999999,0.9199104942857143,0.48511689285997645,0.4068559945933571,0.16135812488124204,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-09-11,29.419542571428572,41.934013384,76.8184542857143,0.95824187,0.532957362961473,0.4955020620029476,0.2268341470283839,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-09-18,29.654349142857143,2.603530913,74.48173,0.7329142857142857,0.6483090142385903,0.4752424669948999,0.2683173378724395,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-09-25,28.081259714285714,75.46520164,78.897083,0.9435662571428571,0.5583200255507761,0.4354549737110054,0.2127998646465451,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-10-02,28.580701428571427,5.29003143,73.42102685714285,0.6462282557142858,0.5258175943977494,0.4102799688915864,0.2020688905938288,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-10-09,28.13749914285714,0.025749207,69.50711914285714,0.807780077142857,0.5214673909381161,0.3412061186456809,0.1584076526039614,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-10-16,25.481519428571428,3.109931924,67.91386057142857,1.2063403214285715,0.4736718079418051,0.3037918075301483,0.1095004008996761,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-10-23,23.577745857142855,0.0,59.47006657142857,1.9280617085714287,0.3949452314619125,0.2750781276126292,0.0933694400972852,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-10-30,22.752585285714286,0.0,66.39463657142856,1.1407278328571429,0.35698263347272485,0.22196892677425223,0.0407076433138542,1,F007,wheat_punjab,1.0,77.63,131.7,282.89,287.14,147.91
2022-11-06,22.23024642857143,52.99759,73.89926785714285,1.664817042857143,0.3372611054314392,0.206654248418561,0.028415629868177,0,F007,wheat_punjab,0.03571428571428571,77.63,131.7,282.89,287.14,147.91
2022-11-13,19.208012142857143,1.95407866,73.87218928571428,1.7114221142857144,0.3175395773901536,0.19133957006286978,0.0161236164224998,0,F007,wheat_punjab,0.08571428571428572,77.63,131.7,282.89,287.14,147.91
2022-11-20,17.207558857142857,1.367569,76.36221871428572,2.1315104,0.2978180493488679,0.17602489170717853,0.0038316029768225984,0,F007,wheat_punjab,0.13571428571428573,77.63,131.7,282.89,287.14,147.91
2022-11-27,15.688206214285714,0.0,74.16999942857144,1.6126413528571428,0.2780965213075823,0.1607102133514873,-0.0084604104688546,1,F007,wheat_punjab,0.18571428571428572,77.63,131.7,282.89,287.14,147.91
2022-12-04,15.047167285714284,0.0,81.90225199999999,1.65288596,0.31059655783651446,0.1811553608640028,0.023853801747312102,1,F007,wheat_punjab,0.2357142857142857,77.63,131.7,282.89,287.14,147.91
